iter	Logloss
0	0.6927472085
1	0.6923803321
2	0.6920566355
3	0.6917473267
4	0.6914431651
5	0.6912025593
6	0.6909920463
7	0.6907714898
8	0.6905122119
9	0.6902601822
10	0.6900518606
11	0.689875662
12	0.6896609274
13	0.6894901591
14	0.6892940796
15	0.6891167864
16	0.6889227057
17	0.6887594037
18	0.6885767019
19	0.6884370587
20	0.6882934719
21	0.6881079034
22	0.6879437722
23	0.6878078793
24	0.687675321
25	0.6875100377
26	0.6873605307
27	0.6872201698
28	0.6870772996
29	0.6869363026
30	0.6868098221
31	0.686678108
32	0.6865320281
33	0.68641
34	0.6862609637
35	0.6861472818
36	0.6860322062
37	0.6859122789
38	0.6857796053
39	0.6856405915
40	0.6855488662
41	0.6854530264
42	0.6853130287
43	0.68515352
44	0.6850345216
45	0.6849230287
46	0.6848142017
47	0.6847208233
48	0.6846024169
49	0.6844974538
50	0.6843842798
51	0.6842489825
52	0.6841433747
53	0.6840043585
54	0.6839115338
55	0.6838060544
56	0.6836956743
57	0.68359679
58	0.6834934162
59	0.6833917425
60	0.683298093
61	0.6831820851
62	0.6830602977
63	0.6829448653
64	0.6828305731
65	0.6827149575
66	0.6825996631
67	0.6824957957
68	0.6823812119
69	0.6822919085
70	0.6821859582
71	0.6820835418
72	0.6819920053
73	0.6818844878
74	0.6817995594
75	0.681705366
76	0.6816260478
77	0.6815168813
78	0.6814201345
79	0.6813281716
80	0.68125266
81	0.6811742132
82	0.6810863189
83	0.680981808
84	0.6808979626
85	0.6807905601
86	0.6807132829
87	0.6806191023
88	0.6805317962
89	0.6804216251
90	0.6803407149
91	0.6802517907
92	0.6801447483
93	0.68003499
94	0.6799774691
95	0.6798762659
96	0.6797854671
97	0.6796767578
98	0.6796015413
99	0.6795233712
100	0.6794200703
101	0.6793272972
102	0.6792459236
103	0.6791293644
104	0.6790652651
105	0.678995724
106	0.6789134858
107	0.678844604
108	0.6787765122
109	0.6786908375
110	0.6786125151
111	0.6785400299
112	0.6784365195
113	0.678340058
114	0.6782510875
115	0.6781567326
116	0.6780869139
117	0.6780141158
118	0.6779326137
119	0.6778367613
120	0.6777562239
121	0.6776756904
122	0.6775824498
123	0.6775098785
124	0.6774362822
125	0.6773686424
126	0.6772662386
127	0.6771977034
128	0.6770970517
129	0.6770009796
130	0.6769403275
131	0.6768514344
132	0.676752932
133	0.6766647512
134	0.6765703457
135	0.6764807397
136	0.6764039858
137	0.6763470776
138	0.676243695
139	0.6761652967
140	0.6760516753
141	0.6759768487
142	0.6758891333
143	0.6757969359
144	0.675717503
145	0.6756231618
146	0.6755567108
147	0.6754779288
148	0.6753978636
149	0.6752949303
150	0.6752190495
151	0.6751445086
152	0.6750472796
153	0.6749450518
154	0.6748644656
155	0.67475067
156	0.674651065
157	0.6745452799
158	0.6744399596
159	0.6743383209
160	0.6742372189
161	0.6741542361
162	0.6740521244
163	0.6739680549
164	0.6739028097
165	0.6738264715
166	0.6737343986
167	0.6736116193
168	0.6735223058
169	0.6734304666
170	0.6733585988
171	0.6732759557
172	0.6731854101
173	0.6730771206
174	0.672977607
175	0.6728728327
176	0.6727839928
177	0.6726949122
178	0.6726016936
179	0.6724952333
180	0.6723968116
181	0.6723113201
182	0.6722219096
183	0.6721229207
184	0.6720258583
185	0.6719196268
186	0.6718156193
187	0.6717233806
188	0.6716255122
189	0.6715286596
190	0.6714446751
191	0.6713582996
192	0.6712620953
193	0.6711659687
194	0.6710592308
195	0.6709798044
196	0.6708970543
197	0.6708046121
198	0.6707081135
199	0.6706218296
200	0.6705111606
201	0.6704019179
202	0.6703109708
203	0.670242239
204	0.6701492224
205	0.670043191
206	0.669969184
207	0.6698862085
208	0.6697840685
209	0.669718383
210	0.6696147099
211	0.6695243035
212	0.6694334923
213	0.6693359469
214	0.6692405595
215	0.6691539116
216	0.6690706344
217	0.6690007287
218	0.6689152376
219	0.6688221685
220	0.6687261305
221	0.6686328315
222	0.6685373646
223	0.6684618493
224	0.6683756337
225	0.6682919203
226	0.6682104248
227	0.6681267203
228	0.6680441086
229	0.6679672243
230	0.667885691
231	0.667802445
232	0.6677185864
233	0.6676333468
234	0.6675420102
235	0.667467854
236	0.66739841
237	0.6673103148
238	0.6672222264
239	0.6671393727
240	0.6670532703
241	0.6669626933
242	0.6668842616
243	0.6667979192
244	0.6667185759
245	0.6666069006
246	0.6665083857
247	0.6664159278
248	0.6663246507
249	0.6662384532
250	0.6661413535
251	0.6660544282
252	0.6659820045
253	0.6659104106
254	0.6658290639
255	0.6657478433
256	0.6656766238
257	0.6655953526
258	0.6655008459
259	0.6654284575
260	0.6653460068
261	0.6652738252
262	0.665204108
263	0.6651084779
264	0.6650325316
265	0.6649241516
266	0.664839355
267	0.664762176
268	0.664671226
269	0.664592313
270	0.6645057405
271	0.6644236498
272	0.6643464312
273	0.6642745058
274	0.6642163808
275	0.6641555239
276	0.6640818255
277	0.6640065098
278	0.6639462092
279	0.6638744604
280	0.6637974829
281	0.6637145014
282	0.6636399764
283	0.6635686482
284	0.6634640951
285	0.6633803784
286	0.6632878029
287	0.6631908791
288	0.6631063304
289	0.6630224643
290	0.662929949
291	0.6628564259
292	0.6627666036
293	0.6626907682
294	0.6626115503
295	0.6625329891
296	0.6624634786
297	0.6623925954
298	0.6623076814
299	0.6622218515
300	0.6621432753
301	0.6620639288
302	0.661984874
303	0.6619161282
304	0.6618492619
305	0.6617734589
306	0.6617028034
307	0.6616186404
308	0.6615325777
309	0.6614552557
310	0.6613794139
311	0.6612928403
312	0.6611965139
313	0.6611003363
314	0.6610115853
315	0.66092448
316	0.6608528979
317	0.6607916236
318	0.6607120605
319	0.6606145452
320	0.6605342366
321	0.6604339978
322	0.6603581225
323	0.6602659381
324	0.660190102
325	0.6601059054
326	0.6600323334
327	0.6599516162
328	0.6598818088
329	0.659804591
330	0.6597338981
331	0.6596487453
332	0.6595586843
333	0.6594818896
334	0.6594117814
335	0.6593274853
336	0.6592636962
337	0.659177879
338	0.6591115934
339	0.6590261742
340	0.6589427018
341	0.6588574554
342	0.6587853516
343	0.6587295653
344	0.6586470661
345	0.6585711751
346	0.6584799173
347	0.6583957487
348	0.6583131625
349	0.6582428337
350	0.6581592778
351	0.6580709582
352	0.6579879528
353	0.6579101945
354	0.6578308312
355	0.6577567155
356	0.6576658457
357	0.6576013936
358	0.6575161382
359	0.6574395244
360	0.6573697543
361	0.6572831103
362	0.6571994252
363	0.6571360336
364	0.6570559327
365	0.6569841394
366	0.6569111853
367	0.6568343158
368	0.6567607403
369	0.6566790553
370	0.6566129758
371	0.6565291757
372	0.6564503255
373	0.6563647595
374	0.6562750649
375	0.6562231212
376	0.6561527388
377	0.656090372
378	0.6560176704
379	0.6559452096
380	0.6558651649
381	0.6558101144
382	0.6557455243
383	0.6556538773
384	0.6555761589
385	0.6554835931
386	0.6554111417
387	0.6553442139
388	0.6552723926
389	0.6551949822
390	0.6551117407
391	0.6550502703
392	0.6549731509
393	0.6548917255
394	0.654797785
395	0.6547150912
396	0.6546485907
397	0.65457566
398	0.6545036695
399	0.6544006422
400	0.6543344443
401	0.6542565997
402	0.654187525
403	0.6541199791
404	0.6540559464
405	0.6539668286
406	0.6539018629
407	0.6538298693
408	0.6537647841
409	0.653687436
410	0.6535972898
411	0.6535262817
412	0.6534501214
413	0.6533822635
414	0.653317558
415	0.6532445337
416	0.6531893747
417	0.6531069653
418	0.6530311573
419	0.6529551049
420	0.652877226
421	0.6527957885
422	0.6527181133
423	0.6526550639
424	0.6525946993
425	0.6525172404
426	0.6524494914
427	0.6523878469
428	0.6523264969
429	0.6522469978
430	0.6521526121
431	0.6520955828
432	0.6520221559
433	0.6519405187
434	0.6518654459
435	0.6517866364
436	0.6517088633
437	0.6516314257
438	0.6515567625
439	0.6514533962
440	0.6513880117
441	0.6513035283
442	0.6512255027
443	0.6511654291
444	0.6510900663
445	0.6510102791
446	0.6509176656
447	0.6508502054
448	0.6507749169
449	0.6506870925
450	0.6506179188
451	0.6505386266
452	0.6504651836
453	0.65039301
454	0.6503157678
455	0.650237203
456	0.6501681875
457	0.6500875545
458	0.6500223288
459	0.6499250284
460	0.6498546699
461	0.6497929857
462	0.6497241743
463	0.6496357453
464	0.6495594445
465	0.6494916325
466	0.649416251
467	0.6493238591
468	0.649253463
469	0.6491760957
470	0.649102838
471	0.649041545
472	0.648973172
473	0.6489002075
474	0.6488293199
475	0.6487520532
476	0.6486722916
477	0.648589345
478	0.6485079739
479	0.6484435034
480	0.6483836826
481	0.6483092643
482	0.6482357218
483	0.648185895
484	0.6481194475
485	0.6480546913
486	0.6479863044
487	0.6478992914
488	0.6478279321
489	0.6477585826
490	0.6476991698
491	0.6476133598
492	0.6475494932
493	0.6474771412
494	0.6474083398
495	0.6473472997
496	0.6472785184
497	0.6472152476
498	0.6471195627
499	0.6470527707
500	0.6469695114
501	0.6468872936
502	0.6468121547
503	0.646743092
504	0.6466568692
505	0.6465921797
506	0.6465210264
507	0.6464645227
508	0.6463934111
509	0.6463289104
510	0.6462685507
511	0.6461814454
512	0.6461103339
513	0.6460459316
514	0.6459608708
515	0.6458828534
516	0.6458044142
517	0.6457292955
518	0.6456546946
519	0.6455843801
520	0.6455099521
521	0.6454466134
522	0.6453728405
523	0.6453035798
524	0.645240738
525	0.6451727026
526	0.6450902472
527	0.6450241004
528	0.6449605865
